danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,genre,song_name,title,text_feature
0.618,0.968,11,-5.898,1,0.04,0.0033299999999999,0.911,0.103,0.0504,130.007,audio_features,391947,4,trance,,Best of Trance,Best of Trance 
0.727,0.49,6,-9.284,1,0.0268,0.0758,0.000171,0.107,0.227,172.028,audio_features,157674,4,Dark Trap,Spine,, Spine
0.6509999999999999,0.622,11,-11.199000000000002,0,0.031,0.0194,0.00673,0.291,0.291,135.029,audio_features,277200,3,psytrance,,Psytrance New Releases 2020,Psytrance New Releases 2020 
0.914,0.515,1,-9.934,1,0.356,0.0031,0.0,0.105,0.215,150.016,audio_features,162214,4,Dark Trap,4Peat,, 4Peat
0.55,0.6920000000000001,6,-7.438,0,0.369,0.299,6.57e-06,0.198,0.593,146.453,audio_features,361942,4,Rap,P&P 1.5,, P&P 1.5
0.846,0.88,9,-6.182,1,0.0505,0.00747,0.033,0.107,0.581,127.011,audio_features,181437,4,techhouse,,Beatoirt Best New Tech House,Beatoirt Best New Tech House 
0.622,0.674,11,-4.181,0,0.0433,0.00843,0.239,0.12,0.1159999999999999,174.02,audio_features,275862,4,dnb,,Liqduicity Drum & Bass,Liqduicity Drum & Bass 
0.725,0.63,11,-9.671,0,0.245,0.0687,0.0,0.186,0.363,154.966,audio_features,173714,4,Underground Rap,Change Clothes,, Change Clothes
0.561,0.975,7,-3.407,1,0.1639999999999999,0.00215,0.096,0.665,0.142,149.894,audio_features,244609,4,hardstyle,,Best Hardstyle ever made,Best Hardstyle ever made 
0.774,0.6629999999999999,7,-11.11,1,0.0543,0.0909,0.908,0.11,0.0343,129.996,audio_features,329538,4,techno,,Acid Techno,Acid Techno 
0.7809999999999999,0.504,10,-7.72,0,0.0361,0.118,0.146,0.114,0.0793,124.032,audio_features,247989,4,Trap Metal,Vices,, Vices
0.53,0.695,4,-16.829,0,0.1369999999999999,5.290000000000001e-05,0.772,0.307,0.158,137.957,audio_features,226096,4,trance,,State if Trance (The best ASOT Epsidoes),State if Trance (The best ASOT Epsidoes) 
0.3670000000000001,0.913,7,-6.303,1,0.0725,0.00765,0.00469,0.132,0.125,150.032,audio_features,163600,4,hardstyle,,Euphoric Hardstyle,Euphoric Hardstyle 
0.6409999999999999,0.981,7,-6.346,1,0.0434,5.88e-06,0.8390000000000001,0.1939999999999999,0.331,141.997,audio_features,419155,4,psytrance,,Psytrance 2020,Psytrance 2020 
0.6759999999999999,0.903,2,-4.277,0,0.0524,0.00421,0.636,0.593,0.252,131.988,audio_features,378264,4,trance,,Trance List | TOP Trance,Trance List | TOP Trance 
0.519,0.812,5,-5.252999999999999,0,0.0955,0.00376,4.9000000000000005e-06,0.166,0.125,139.923,audio_features,192496,4,Trap Metal,DeathPunch,, DeathPunch
0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,191.93400000000003,audio_features,233787,4,Hiphop,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",," F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)"
0.3379999999999999,0.926,6,-6.4510000000000005,1,0.0535,0.00237,0.0035,0.401,0.0773,137.97899999999998,audio_features,239500,4,trance,,Uplifting | Trance,Uplifting | Trance 
0.491,0.956,11,-1.538,1,0.392,0.0295,0.0,0.46,0.8109999999999999,173.585,audio_features,276920,4,Hiphop,Empire State Of Mind,, Empire State Of Mind
0.588,0.877,8,-4.78,1,0.16,0.00952,0.0,0.171,0.645,155.165,audio_features,326187,4,RnB,Knock You Down,, Knock You Down
